City,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Denver,794.41,40.1,7.06,2.12,20.17,25.8,59
Provo,453.95,25.02,11.0,1.19,12.8,17.1,41
Hampton,303.75,12.34,62.23,1.12,4.38,10.01,60
Birmingham,243.66,20.56,52.21,5.66,1.4,2.05,44
Greeley,313.76,16.62,25.75,0.17,7.85,8.33,25
Spring Valley,403.88,19.36,37.55,2.03,12.0,14.97,38
Tustin,907.9,48.67,2.55,3.28,33.06,40.78,85
Springfield,270.37,3.26,52.93,4.23,6.65,8.48,44
Fort Wayne,257.02,4.54,60.08,1.09,6.66,6.94,53
Santa Ana,907.9,48.67,2.55,3.28,33.06,40.78,85
Dayton,267.03,9.17,53.64,2.41,6.05,6.62,45
Redondo Beach,1148.22,64.43,1.88,7.75,40.18,57.19,99
Shawnee,247.0,3.17,64.37,0.39,0.97,1.48,66
Bethlehem,233.65,34.62,55.08,8.58,12.77,27.34,46
Pasadena,387.19,33.59,11.98,1.62,7.61,16.66,41
Somerville,317.1,11.48,74.39,4.05,15.56,18.68,98
Muncie,267.03,9.34,53.64,1.55,5.68,6.09,45
Sparks,614.17,45.93,3.98,0.56,23.78,38.59,66
Compton,1148.22,64.43,1.88,7.75,40.18,57.19,99
Jurupa Valley,594.14,30.5,1.95,1.67,19.05,25.86,57
Buena Park,594.14,33.93,3.71,2.62,17.04,22.87,53
Tampa,240.33,5.23,73.67,1.36,3.27,5.5,95
Midland,257.02,2.59,50.07,0.13,9.14,21.17,42
Rialto,353.81,27.08,33.98,4.29,8.02,10.56,33
Pomona,317.1,23.65,35.76,1.83,7.16,10.77,30
Arlington,337.12,14.4,42.56,1.97,19.52,21.82,58
Portland,487.33,22.62,0.09,2.09,10.13,13.45,32
Kenosha,243.66,2.72,68.67,0.29,0.5,0.92,80
Racine,257.02,6.77,66.52,2.53,0.81,1.49,73
Greeley,313.76,16.62,25.75,0.17,7.85,8.33,25
Garden Grove,907.9,48.67,2.55,3.28,33.06,40.78,85
Longview,247.0,3.6,47.92,0.25,3.59,4.16,40
Sparks,614.17,45.93,3.98,0.56,23.78,38.59,66
Detroit,287.06,13.37,57.94,2.18,5.84,6.74,49
Temple,270.37,4.33,55.79,1.59,22.48,23.58,64
Mountain View,473.98,40.1,0.81,1.51,10.24,13.44,50
Omaha,257.02,3.43,60.08,1.09,1.28,1.66,53
Kenosha,243.66,2.72,68.67,0.29,0.5,0.92,80
Athens-Clarke County unified government,247.0,3.9,55.79,0.29,3.83,8.74,47
Scottsdale,540.73,27.76,10.91,1.49,13.01,18.84,42
Scranton,303.75,7.71,65.09,2.86,9.24,13.34,69
Union City,417.23,45.24,5.68,2.44,11.22,15.18,56
New Britain,155.21,0.03,9.21,6.62,9.27,10.55,30
El Cajon,410.56,21.25,7.87,1.16,6.0,9.38,26
Kenner,287.06,14.4,27.54,5.01,5.48,7.59,23
Allen,377.18,30.16,22.71,4.47,13.68,16.51,44
East Los Angeles,387.19,33.59,11.98,1.62,7.61,16.66,41
Saint Louis,250.34,4.16,55.79,0.9,7.14,7.88,47
Pleasanton,420.57,25.36,3.09,0.48,11.3,13.12,36
Gulfport,250.34,4.33,45.42,2.03,3.63,4.65,38
Wilmington,303.75,8.48,63.66,2.53,6.65,10.93,64
Centreville,247.0,3.17,67.95,2.0,5.36,9.69,77
Kirkland,620.84,30.16,0.05,2.18,17.23,25.29,53
Escondido,317.1,12.51,14.48,0.34,5.0,6.93,16
Macon,230.31,4.33,49.35,8.58,3.23,6.31,41
Kennewick,400.54,21.25,12.7,0.29,14.08,15.22,45
Edinburg,253.68,26.73,25.03,6.38,5.8,6.22,33
Fishers,260.35,5.66,57.22,1.36,7.34,7.9,48
Brandon,216.96,1.25,72.96,0.13,0.5,0.6,93
Marysville,333.79,16.97,23.25,0.13,3.6,4.87,21
Schenectady,350.48,13.37,50.78,1.74,15.99,18.33,51
Columbus,243.66,5.06,63.66,1.33,3.3,3.6,64
Erie,257.02,5.91,73.67,0.84,5.04,5.18,95
Kendall,220.3,4.16,75.1,1.04,3.42,8.71,100
Albany,413.9,18.17,47.92,6.91,22.42,25.69,64
Saint Charles,257.02,3.94,55.79,0.92,7.97,8.73,47
